URL,Title,Address
https://newyork.craigslist.org/brk/egr/d/drafter-position-available/6551619243.html,Drafter Position Available- Bilingual Russian,
https://newyork.craigslist.org/wch/egr/d/construction-project-engineer/6551584307.html,Construction Project Engineer / Project Manager,
https://newyork.craigslist.org/mnh/egr/d/intermediate-senior-architect/6551565755.html,Intermediate/Senior Architect,SoHo
https://newyork.craigslist.org/lgi/egr/d/project-architect/6551532350.html,Project Architect,Roslyn Heights
https://newyork.craigslist.org/brk/egr/d/expediter-pm/6551515753.html,"Expediter, PM",Dumbo
https://newyork.craigslist.org/wch/egr/d/cad-cam-operator/6551425683.html,CAD / CAM Operator,Hillburn NY
https://newyork.craigslist.org/mnh/egr/d/senior-structural-engineer/6551113476.html,Senior Structural Engineer - Buildings and Infrastructure,Financial District
https://newyork.craigslist.org/que/egr/d/designer-draftperson/6551078921.html,Designer/ Draftperson,Long Island City
https://newyork.craigslist.org/mnh/egr/d/project-manager-peterson/6550957142.html,Project Manager - PETERSON GEOTECH,NYC/NJ
https://newyork.craigslist.org/mnh/egr/d/architectural-interior/6550943223.html,ARCHITECTURAL INTERIOR DESIGNER,Midtown East
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6550692885.html,Junior Architect,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/full-time-designer/6550618407.html,Full time Designer,SoHo
https://newyork.craigslist.org/mnh/egr/d/in-house-junior-designer/6550614668.html,In-House Junior Designer - Commercial projects,
https://newyork.craigslist.org/mnh/egr/d/intermediate-architects/6550605973.html,INTERMEDIATE ARCHITECTS,Midtown
